acc,gc,gc3,TAA_1_a3,TAA_1_a6,TAA_1_t3,TAA_1_t6,TAG_1_a3,TAG_1_a6,TAG_1_t3,TAG_1_t6
CP002446,0.7058823722927658,0.9192652340393517,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.2,0.2,0.8,0.8
CP002568,0.6782657779361551,0.8743626933895922,0.45454545454545453,0.18181818181818182,0.5454545454545454,0.8181818181818182,0.16666666666666666,0.25,0.8333333333333334,0.75
CP002858,0.38827833752043317,0.36650681123158185,0.4672413793103448,0.3422413793103448,0.5327586206896552,0.6577586206896552,0.2182468694096601,0.26118067978533094,0.7817531305903399,0.738819320214669
CP003236,0.6864618026106204,0.8516721135723055,0.16666666666666666,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.23076923076923078,0.23076923076923078,0.7692307692307693,0.7692307692307693
CP003555,0.5575404358277511,0.6233874633445831,0.05588235294117647,0.052941176470588235,0.9441176470588235,0.9470588235294117,0.16810344827586207,0.4870689655172414,0.8318965517241379,0.5129310344827587
CP003903,0.32035736021804134,0.19716038876696376,0.3925233644859813,0.411214953271028,0.6074766355140186,0.5887850467289719,0.5816326530612245,0.5255102040816326,0.41836734693877553,0.4744897959183674
CP006900,0.6540312362078048,0.8235057366056069,0.21052631578947367,0.05263157894736842,0.7894736842105263,0.9473684210526315,0.3170731707317073,0.43902439024390244,0.6829268292682927,0.5609756097560976
CP007757,0.534618772874648,0.5491749563608067,0.07142857142857142,0.08095238095238096,0.9285714285714286,0.919047619047619,0.24778761061946902,0.40412979351032446,0.7522123893805309,0.5958702064896755
CP010803,0.6307611824668071,0.79177825147932,0.29545454545454547,0.22727272727272727,0.7045454545454546,0.7727272727272727,0.07462686567164178,0.14925373134328357,0.9253731343283582,0.8507462686567164
FP929041,0.3817016782973843,0.32901034472258595,0.21052631578947367,0.21754385964912282,0.7894736842105263,0.7824561403508772,0.20216606498194944,0.4404332129963899,0.7978339350180506,0.5595667870036101
AE000783,0.28987516776353023,0.20380897546101823,0.5216178521617852,0.3682008368200837,0.4783821478382148,0.6317991631799164,0.2756756756756757,0.21081081081081082,0.7243243243243244,0.7891891891891892
AE009952,0.48973873887305164,0.4987038811144497,0.16120906801007556,0.1385390428211587,0.8387909319899244,0.8614609571788413,0.24285714285714285,0.37142857142857144,0.7571428571428571,0.6285714285714286
AE017263,0.27118713225993357,0.12505984164978826,0.4135702746365105,0.2552504038772213,0.5864297253634895,0.7447495961227787,0.25,0.275,0.75,0.725
AM494475,0.3093770417019434,0.19825725175293124,0.44337606837606836,0.48183760683760685,0.5566239316239316,0.5181623931623932,0.6116751269035533,0.5228426395939086,0.3883248730964467,0.47715736040609136
AP009247,0.32916934401046527,0.20665167106252752,0.1669266770670827,0.22776911076443057,0.8330733229329174,0.7722308892355694,0.35447761194029853,0.5485074626865671,0.6455223880597015,0.45149253731343286
AP012052,0.7050663779581839,0.9038103148334098,0.25,0.25,0.75,0.75,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.8571428571428571
AP013044,0.48211756458069016,0.5448320235810405,0.16786570743405277,0.2589928057553957,0.8321342925659473,0.7410071942446043,0.24199288256227758,0.39501779359430605,0.7580071174377224,0.604982206405694
BX571963,0.6565884357592906,0.8396725164306499,0.1875,0.0625,0.8125,0.9375,0.32432432432432434,0.24324324324324326,0.6756756756756757,0.7567567567567568
CP000142,0.5611824672943827,0.64807612280281,0.184,0.188,0.816,0.812,0.14644351464435146,0.2594142259414226,0.8535564853556485,0.7405857740585774
CP000285,0.645935948086823,0.8120132751231889,0.4827586206896552,0.3448275862068966,0.5172413793103449,0.6551724137931034,0.35714285714285715,0.5,0.6428571428571429,0.5
CP000478,0.6029716347730787,0.7560073896371517,0.3170731707317073,0.25609756097560976,0.6829268292682927,0.7439024390243902,0.08080808080808081,0.24242424242424243,0.9191919191919192,0.7575757575757576
CP000747,0.7171859115179123,0.9431111524462162,1.0,0.0,0.0,1.0,0.14285714285714285,0.2857142857142857,0.8571428571428571,0.7142857142857143
CP000910,0.5673255974465375,0.6067054970060769,0.17687074829931973,0.027210884353741496,0.8231292517006803,0.9727891156462585,0.50920245398773,0.18098159509202455,0.49079754601226994,0.8190184049079755
CP001110,0.4901058728686794,0.5128254571505035,0.15492957746478872,0.16901408450704225,0.8450704225352113,0.8309859154929577,0.1340909090909091,0.22727272727272727,0.865909090909091,0.7727272727272727
CP001560,0.577411456063147,0.6799839912116363,0.11310592459605028,0.10771992818671454,0.8868940754039497,0.8922800718132855,0.25842696629213485,0.3651685393258427,0.7415730337078652,0.6348314606741573
CP001684,0.6111759988553136,0.7920175523505307,0.2571428571428571,0.2,0.7428571428571429,0.8,0.16842105263157894,0.25263157894736843,0.8315789473684211,0.7473684210526316
CP001779,0.26240640229289885,0.11510648467129725,0.6380510440835266,0.5924207269914926,0.3619489559164733,0.4075792730085073,0.5929411764705882,0.4964705882352941,0.40705882352941175,0.5035294117647059
CP001896,0.6503930626011356,0.8122566459369426,0.4444444444444444,0.05555555555555555,0.5555555555555556,0.9444444444444444,0.4117647058823529,0.29411764705882354,0.5882352941176471,0.7058823529411765
CP002046,0.344094034505972,0.23191173186087088,0.4064039408866995,0.39983579638752054,0.5935960591133005,0.6001642036124795,0.4217948717948718,0.44743589743589746,0.5782051282051283,0.5525641025641026
CP002287,0.6669281261610865,0.8562704542941372,0.24324324324324326,0.13513513513513514,0.7567567567567568,0.8648648648648649,0.3617021276595745,0.3829787234042553,0.6382978723404256,0.6170212765957447
CP002449,0.6912199107983025,0.9065834342441966,0.625,0.125,0.375,0.875,0.34615384615384615,0.2692307692307692,0.6538461538461539,0.7307692307692307
